contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,timeToExpiry,mid,moneyness,impliedVol,delta,gamma,vega,theta,rho,speed
SPY260313C00565000,2026-03-09 17:49:01+00:00,565.0,104.28,99.88,102.62,0.0,0.0,3.0,3,1.396487392578125,True,REGULAR,USD,0.0027397260273972603,101.25,0.8482719305632772,1.33618212890625,0.9915575557705795,0.0004933282844866172,0.8011899876278235,-215.53147327945925,1.5320198366530766,-2.604278059889288e-05
SPY260313C00570000,2026-03-12 15:06:13+00:00,570.0,98.41,94.91,97.63,-0.12999725,-0.13192333,1.0,1,1.3496126269531248,True,REGULAR,USD,0.0027397260273972603,96.27,0.8557787618072,1.2946865234375,0.9901906152831789,0.0005806342541255493,0.9136947278796481,-236.19347468791662,1.5431701650126968,-3.0890321012970563e-05
SPY260313C00580000,2026-03-12 17:42:54+00:00,580.0,89.42,84.89,87.63,-2.880005,-3.1202652,17.0,25,1.2089883300781248,True,REGULAR,USD,0.0027397260273972603,86.25999999999999,0.8707924242950456,1.15555419921875,0.9898097021339733,0.0006725406534929766,0.9445886004325764,-219.86013565767624,1.5698994137858724,-3.972764284872786e-05
SPY260313C00585000,2026-03-09 16:30:19+00:00,585.0,86.37,79.9,82.64,0.0,0.0,2.0,5,1.1513714306640623,True,REGULAR,USD,0.0027397260273972603,81.27000000000001,0.8782992555389684,1.1018540039062499,0.988713534357446,0.0007709391958578597,1.0324713732819584,-228.42866754763688,1.5815702440394177,-4.692691151608528e-05
SPY260313C00590000,2026-03-12 18:07:33+00:00,590.0,78.85,74.92,77.64,-6.9000015,-8.046649,69.0,19,1.09375453125,True,REGULAR,USD,0.0027397260273972603,76.28,0.8858060867828912,1.0481538085937498,0.9874356549520767,0.0008894583679877194,1.1331423743052595,-237.7164755264618,1.5929061632082508,-5.584449842555849e-05
SPY260313C00595000,2026-03-11 13:36:54+00:00,595.0,83.23,69.92,72.64,0.0,0.0,1.0,5,1.0273486132812502,True,REGULAR,USD,0.0027397260273972603,71.28,0.893312918026814,0.983469482421875,0.9867660691212987,0.000991494745115306,1.1851822628580344,-233.84433449202822,1.6053846309766695,-6.566482506342332e-05
SPY260313C00600000,2026-03-12 18:46:50+00:00,600.0,68.04,64.91,67.65,-6.959999,-9.279999,11.0,43,0.9609378906249999,True,REGULAR,USD,0.0027397260273972603,66.28,0.9008197492707368,0.91878515625,0.9860256922189872,0.0011123462333099624,1.2421893375990465,-229.57474087483808,1.617734540366304,-7.799878850456551e-05
SPY260313C00605000,2026-03-12 15:33:35+00:00,605.0,62.95,59.91,62.65,-7.6499977,-10.8356905,4.0,5,0.8955088574218748,True,REGULAR,USD,0.0027397260273972603,61.28,0.9083265805146596,0.8553212890624999,0.9850828883433309,0.0012639657143431768,1.3140092241351222,-226.55590958939956,1.6297112382319447,-9.397565092867622e-05
SPY260313C00610000,2026-03-12 19:48:55+00:00,610.0,57.06,54.91,57.66,-12.049999,-17.43597,283.0,16,0.8320329296874999,True,REGULAR,USD,0.0027397260273972603,56.285,0.9158334117585825,0.7955187988281252,0.9836062034711219,0.0014736296197898127,1.42486141995453,-228.45322264072166,1.6406995048334347,-0.0001156358609605926
SPY260313C00611000,2026-03-10 15:01:07+00:00,611.0,70.73,53.92,56.66,0.0,0.0,2.0,2,0.82226740234375,True,REGULAR,USD,0.0027397260273972603,55.29,0.917334778007367,0.7857551269531251,0.9830331628076465,0.0015364497737318226,1.4673693035520263,-232.03207837828643,1.6423813401107474,-0.00012125994124532796
SPY260313C00612000,2026-03-09 17:06:12+00:00,612.0,59.53,52.92,55.66,0.0,0.0,10.0,10,0.8085956640624999,True,REGULAR,USD,0.0027397260273972603,54.29,0.9188361442561516,0.772330078125,0.9828515389711778,0.0015774485307577723,1.4807849266886082,-230.35957313017553,1.6447919221436234,-0.00012636687748409744
SPY260313C00613000,2026-03-09 13:31:28+00:00,613.0,55.06,51.89,54.66,0.0,0.0,2.0,4,0.78711150390625,True,REGULAR,USD,0.0027397260273972603,53.275,0.9203375105049361,0.7503618164062501,0.983651897657094,0.0015585834031786052,1.4214598972960382,-216.35451539477566,1.6490286106965992,-0.000129588241359387
SPY260313C00614000,2026-02-23 14:30:22+00:00,614.0,76.72,50.94,53.66,0.0,0.0,,1,0.78711150390625,True,REGULAR,USD,0.0027397260273972603,52.3,0.9218388767537207,0.7540231933593751,0.9814342166342244,0.0017289845922574651,1.5845635672604763,-239.73081369295906,1.6476535089077629,-0.00013968488528242275
SPY260313C00615000,2026-03-12 14:53:51+00:00,615.0,53.79,49.88,52.66,-8.369999,-13.465249,34.0,49,0.7578149218750001,True,REGULAR,USD,0.0027397260273972603,51.269999999999996,0.9233402430025053,0.72107080078125,0.9836066292686227,0.0016257404849938039,1.4248297313740637,-209.2706097636762,1.6544404530891748,-0.00014049203933995364
SPY260313C00617000,2026-03-09 17:06:12+00:00,617.0,54.6,48.2,50.66,0.0,0.0,10.0,28,0.804689453125,True,REGULAR,USD,0.0027397260273972603,49.43,0.9263429755000744,0.7808732910156251,0.9709390111842693,0.002434249473456971,2.310359121028182,-350.7795361547914,1.63636503847119,-0.00017307898295082822
SPY260313C00618000,2026-03-06 15:51:29+00:00,618.0,55.97,46.93,49.67,0.0,0.0,1.0,13,0.73437765625,True,REGULAR,USD,0.0027397260273972603,48.3,0.9278443417488589,0.70154345703125,0.9803268862954816,0.00195214750456131,1.6645661045692095,-234.91508134013733,1.6565945223713228,-0.00016739599382840044
SPY260313C00619000,2026-03-09 20:08:56+00:00,619.0,57.93,46.2,48.67,0.0,0.0,3.0,3,0.778322529296875,True,REGULAR,USD,0.0027397260273972603,47.435,0.9293457079976435,0.7552436523437501,0.9696618766219678,0.0026083006844673817,2.3943000664778538,-351.5840435092902,1.639500443840615,-0.00018973973110469802
SPY260313C00620000,2026-03-12 19:51:50+00:00,620.0,47.01,44.93,47.67,-11.41,-19.530983,173.0,30,0.7070341796875,True,REGULAR,USD,0.0027397260273972603,46.3,0.9308470742464281,0.6759138183593749,0.9796211930533768,0.002087658746945575,1.7150811475285763,-233.41560621144455,1.6607846771241468,-0.0001843952738455897
SPY260313C00621000,2026-03-12 14:49:22+00:00,621.0,47.54,44.21,46.67,-1.4300003,-2.9201558,8.0,4,0.75195560546875,True,REGULAR,USD,0.0027397260273972603,45.44,0.9323484404952126,0.729614013671875,0.9682666954036181,0.0028022627792772606,2.485054190741531,-352.50765416031373,1.6424192370867159,-0.00020866579324840332
SPY260313C00622000,2026-02-27 15:14:04+00:00,622.0,66.4,43.2,45.67,0.0,0.0,1.0,1,0.7358424853515625,True,REGULAR,USD,0.0027397260273972603,44.435,0.9338498067439972,0.7137480468749999,0.9680771146813467,0.0028786840617721224,2.497311830446738,-346.94042225689907,1.64482618003055,-0.000218718319665824
SPY260313C00623000,2026-02-12 17:33:58+00:00,623.0,65.97,41.94,44.68,0.0,0.0,,2,0.6718782812500002,True,REGULAR,USD,0.0027397260273972603,43.31,0.9353511729927817,0.6423402171036058,0.9776546197758074,0.0023747385127010764,1.8540214233568126,-239.25512781523676,1.6653880374241086,-0.00021645320872890614
SPY260313C00624000,2026-03-09 17:52:25+00:00,624.0,46.03,40.89,43.68,0.0,0.0,8.0,2,0.64648791015625,True,REGULAR,USD,0.0027397260273972603,42.285,0.9368525392415663,0.6153534410079788,0.9795408902422791,0.002300772353119308,1.7208068335176236,-215.24588976896786,1.671638363770492,-0.00022270399349453546
SPY260313C00625000,2026-03-12 19:57:38+00:00,625.0,41.48,39.94,42.68,-9.139999,-18.056103,3.0,20,0.6445348046875,True,REGULAR,USD,0.0027397260273972603,41.31,0.9383539054903508,0.6161119549013084,0.9768268950657409,0.002552897544484366,1.911731340166215,-236.92171469404033,1.6693570392924604,-0.00024061312373081133
SPY260313C00626000,2026-03-12 19:57:38+00:00,626.0,40.43,38.94,41.68,-4.5,-10.01558,1.0,4,0.63086306640625,True,REGULAR,USD,0.0027397260273972603,40.31,0.9398552717391354,0.6029779048502962,0.9763872214308634,0.0026500891134413266,1.9422078936071088,-235.7186016471448,1.6712944388386834,-0.00025412460481933724
