contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,timeToExpiry,mid,moneyness,impliedVol,delta,gamma,vega,theta,rho,speed
SPY260313P00616000,2026-03-12 20:07:51+00:00,616.0,0.03,0.02,0.03,-0.020000001,-40.000004,469.0,1102,0.5664105859375,False,REGULAR,USD,0.0027397260273972603,0.025,0.9248416092512898,0.56729296875,-0.004030726996462897,0.0006031312623048182,0.4158656783013652,-42.957293755325836,-0.007423629763524025,-8.170321985184623e-05
SPY260313P00617000,2026-03-12 20:12:18+00:00,617.0,0.03,0.02,0.03,-0.020000001,-40.000004,514.0,1237,0.5546919531250001,False,REGULAR,USD,0.0027397260273972603,0.025,0.9263429755000744,0.5569091532537893,-0.004112492094414111,0.0006255203518123061,0.42340856477285377,-42.93387098560944,-0.007573060926253323,-8.607973438731039e-05
SPY260313P00618000,2026-03-12 20:02:05+00:00,618.0,0.03,0.02,0.03,-0.020000001,-40.000004,668.0,868,0.5468795312500001,False,REGULAR,USD,0.0027397260273972603,0.025,0.9278443417488589,0.5463261494058411,-0.0041859240556121335,0.0006478144087983255,0.43016634557850064,-42.788118569943066,-0.0077070591134325425,-9.06517220231354e-05
SPY260313P00619000,2026-03-12 20:13:13+00:00,619.0,0.02,0.02,0.03,-0.030000001,-60.0,710.0,606,0.5351608984375,False,REGULAR,USD,0.0027397260273972603,0.025,0.9293457079976435,0.5357437334461647,-0.004262225901775496,0.0006713693290226624,0.4371720974060225,-42.64048509143684,-0.00784629636742061,-9.556320228617364e-05
SPY260313P00620000,2026-03-12 20:14:31+00:00,620.0,0.03,0.03,0.04,-0.01,-25.0,2241.0,11141,0.5429733203125001,False,REGULAR,USD,0.0027397260273972603,0.035,0.9308470742464281,0.5449934340099171,-0.005706273750654578,0.0008559074375446197,0.5669593328320975,-56.25223541606513,-0.010508832216149441,-0.00011524593837174093
SPY260313P00621000,2026-03-12 20:06:22+00:00,621.0,0.05,0.03,0.04,-0.009999998,-16.666662,1197.0,1662,0.53320779296875,False,REGULAR,USD,0.0027397260273972603,0.035,0.9323484404952126,0.5340744999495963,-0.0058129680743995715,0.0008878838088887137,0.5763573254832899,-56.035899828820746,-0.010703522002773483,-0.00012165812002939298
SPY260313P00622000,2026-03-12 20:10:52+00:00,622.0,0.04,0.03,0.04,-0.02,-33.333336,178.0,871,0.523442265625,False,REGULAR,USD,0.0027397260273972603,0.035,0.9338498067439972,0.5231571863833354,-0.00592433165400208,0.0009217986508883962,0.5861410014711357,-55.81899395996843,-0.010906740622430546,-0.00012857442131838698
SPY260313P00623000,2026-03-12 19:16:55+00:00,623.0,0.04,0.03,0.04,-0.010000002,-20.000002,375.0,1285,0.5117236328125,False,REGULAR,USD,0.0027397260273972603,0.035,0.9353511729927817,0.5122376792715191,-0.006040413483539342,0.0009577850641522697,0.5963118227580361,-55.59894165916491,-0.01111857266009172,-0.00013604395794354976
SPY260313P00624000,2026-03-12 20:10:10+00:00,624.0,0.04,0.03,0.04,-0.04,-50.0,282.0,807,0.500005,False,REGULAR,USD,0.0027397260273972603,0.035,0.9368525392415663,0.5013097197855348,-0.006161044353813594,0.0009959623308106451,0.6068521241935961,-55.37111101813712,-0.011338700164159946,-0.00014411948256462344
SPY260313P00625000,2026-03-12 20:12:34+00:00,625.0,0.03,0.03,0.05,-0.020000001,-40.000004,310.0,8340,0.5117236328125,False,REGULAR,USD,0.0027397260273972603,0.04,0.9383539054903508,0.4980904832503788,-0.006997904906513863,0.0011218995583158373,0.6791974699321183,-61.57060582556934,-0.012879520251746102,-0.0001604474666378078
SPY260313P00626000,2026-03-12 20:02:31+00:00,626.0,0.04,0.04,0.05,-0.010000002,-20.000002,167.0,1207,0.500005,False,REGULAR,USD,0.0027397260273972603,0.045,0.9398552717391354,0.4939452278724984,-0.007847328771235507,0.001251488751884108,0.7513453155041153,-67.53997841219993,-0.014443267414678747,-0.00017745582772998723
SPY260313P00627000,2026-03-12 20:11:55+00:00,627.0,0.05,0.04,0.05,0.0,0.0,466.0,1014,0.48828636718750007,False,REGULAR,USD,0.0027397260273972603,0.045,0.94135663798792,0.4827327352562063,-0.008013716533439519,0.0013044047760508738,0.765337457147277,-67.23121020428393,-0.014746895657741978,-0.00018861678904072673
SPY260313P00628000,2026-03-12 20:14:08+00:00,628.0,0.05,0.04,0.05,-0.009999998,-16.666662,752.0,2119,0.476567734375,False,REGULAR,USD,0.0027397260273972603,0.045,0.9428580042367045,0.47151065163285893,-0.00818763650348353,0.0013608883479789668,0.7799160218315454,-66.91409548312946,-0.015064267367573658,-0.0002007694869923034
SPY260313P00629000,2026-03-12 20:14:28+00:00,629.0,0.05,0.05,0.06,-0.009999998,-16.666662,295.0,996,0.476567734375,False,REGULAR,USD,0.0027397260273972603,0.055,0.9443593704854891,0.47199226296216323,-0.00980794325542933,0.0015924897879829494,0.9135774559592124,-78.45678625740611,-0.018048434837743633,-0.00022823258162357749
SPY260313P00630000,2026-03-12 20:10:51+00:00,630.0,0.05,0.05,0.06,0.0,0.0,1742.0,9557,0.46484910156250003,False,REGULAR,USD,0.0027397260273972603,0.055,0.9458607367342736,0.46052217810799073,-0.010029896282882644,0.0016643559078036402,0.9316023822293443,-78.05398413630195,-0.018453459462587148,-0.00024354163048156667
SPY260313P00631000,2026-03-12 20:12:55+00:00,631.0,0.06,0.05,0.06,0.0,0.0,416.0,2072,0.45313046875,False,REGULAR,USD,0.0027397260273972603,0.055,0.9473621029830582,0.44903937808970773,-0.010262789387223026,0.001741443900125021,0.9504466725002563,-77.64039950957914,-0.01887844787676479,-0.0002603113479806216
SPY260313P00632000,2026-03-12 20:10:35+00:00,632.0,0.06,0.06,0.07,-0.010000002,-14.285716,1222.0,1344,0.45117736328125,False,REGULAR,USD,0.0027397260273972603,0.065,0.9488634692318428,0.4472723641774341,-0.011972240395298095,0.0019990029568407,1.0867242040639595,-88.41644664582363,-0.02202529405044592,-0.0002924702123996143
SPY260313P00633000,2026-03-12 20:14:50+00:00,633.0,0.07,0.06,0.07,0.0,0.0,773.0,2183,0.43945873046875,False,REGULAR,USD,0.0027397260273972603,0.065,0.9503648354806273,0.43555735536396867,-0.012263203253060406,0.002095947125736402,1.109582281795491,-87.90302646202355,-0.02255624464584351,-0.0003135421968798126
SPY260313P00634000,2026-03-12 20:14:17+00:00,634.0,0.07,0.07,0.08,0.0,0.0,2181.0,1378,0.43555251953125,False,REGULAR,USD,0.0027397260273972603,0.07500000000000001,0.9518662017294119,0.4322292619259183,-0.014040638345668488,0.002374173732790986,1.247270065740205,-98.04711811954203,-0.025827143973958668,-0.00034957814757881925
SPY260313P00635000,2026-03-12 20:13:50+00:00,635.0,0.08,0.07,0.09,0.009999998,14.285711,7543.0,35691,0.43066975585937506,False,REGULAR,USD,0.0027397260273972603,0.08,0.9533675679781964,0.42414108549233165,-0.015132301672708959,0.002580479742178376,1.3302848219944607,-102.6054589369424,-0.02783294866744194,-0.000381971859390719
SPY260313P00636000,2026-03-12 20:14:38+00:00,636.0,0.09,0.08,0.09,0.010000005,12.500007,2316.0,1829,0.41797457031249996,False,REGULAR,USD,0.0027397260273972603,0.08499999999999999,0.954868934226981,0.4157028918149515,-0.016265483190435193,0.002801129514392196,1.4153051065170965,-106.97960035771666,-0.0299144877534856,-0.00041740078341952924
SPY260313P00637000,2026-03-12 20:14:59+00:00,637.0,0.1,0.09,0.1,0.020000003,25.000004,5678.0,1685,0.41211525390625,False,REGULAR,USD,0.0027397260273972603,0.095,0.9563703004757655,0.41021838230283225,-0.01817690062364674,0.003121256769954059,1.5562467354475507,-116.06830710799218,-0.03342988054363645,-0.0004614648959302593
SPY260313P00638000,2026-03-12 20:13:45+00:00,638.0,0.09,0.1,0.11,0.0,0.0,2821.0,2102,0.4062559375,False,REGULAR,USD,0.0027397260273972603,0.10500000000000001,0.9578716667245502,0.40397844776728203,-0.0201450025287937,0.003458947675051781,1.6983845360353094,-124.72771506641708,-0.037048737238035166,-0.0005088496084332703
SPY260313P00639000,2026-03-12 20:14:59+00:00,639.0,0.11,0.11,0.12,0.009999998,9.999997,2629.0,2301,0.398443515625,False,REGULAR,USD,0.0027397260273972603,0.11499999999999999,0.9593730329733348,0.3970634290115814,-0.02217563504385689,0.0038170417719838195,1.8421315465987709,-132.9517447982836,-0.04078165525501943,-0.0005601769732186534
SPY260313P00640000,2026-03-12 20:14:38+00:00,640.0,0.12,0.12,0.13,0.019999996,19.999994,23112.0,15879,0.39160764648437496,False,REGULAR,USD,0.0027397260273972603,0.125,0.9608743992221193,0.3895606840230185,-0.024282167520744857,0.004199421882204564,1.9883757828825486,-140.77567136934724,-0.04465309719346664,-0.0006161811486337948
SPY260313P00641000,2026-03-12 20:13:22+00:00,641.0,0.13,0.13,0.14,0.029999994,29.999992,4638.0,1419,0.38281867187499996,False,REGULAR,USD,0.0027397260273972603,0.135,0.9623757654709039,0.3815231436801973,-0.02647416560327709,0.004609848266412124,2.1376734197043348,-148.20131849368215,-0.048680500487677664,-0.000677664711892472
SPY260313P00642000,2026-03-12 20:14:57+00:00,642.0,0.14,0.15,0.16,0.030000001,27.272728,4493.0,2519,0.3789124609375,False,REGULAR,USD,0.0027397260273972603,0.155,0.9638771317196884,0.37727493916526533,-0.030192509609154983,0.005200618980802418,2.384771829515395,-163.46736883193233,-0.05552062197357063,-0.0007503469718559587
SPY260313P00643000,2026-03-12 20:14:23+00:00,643.0,0.16,0.16,0.17,0.04,33.333336,3868.0,5908,0.36914693359375,False,REGULAR,USD,0.0027397260273972603,0.165,0.965378497968473,0.3680223107761929,-0.03259895265717083,0.005680368948091802,2.5408822010646004,-169.86729756667754,-0.05993933881976426,-0.0008248710537679417
SPY260313P00644000,2026-03-12 20:13:54+00:00,644.0,0.18,0.18,0.19,0.050000012,38.461548,4919.0,2736,0.3627993408203125,False,REGULAR,USD,0.0027397260273972603,0.185,0.9668798642172575,0.3620104518587405,-0.036551196906798866,0.006343900345151216,2.791330751281818,-183.53027348212228,-0.0672062744032729,-0.0009103747363850295
SPY260313P00645000,2026-03-12 20:14:52+00:00,645.0,0.21,0.2,0.22,0.059999987,39.99999,20530.0,13199,0.3588931298828125,False,REGULAR,USD,0.0027397260273972603,0.21000000000000002,0.9683812304660421,0.3567310158919725,-0.041340343653959,0.007116793683833906,3.085738256341469,-199.89187145663442,-0.0760141073875351,-0.0010037118774938055
SPY260313P00646000,2026-03-12 20:14:42+00:00,646.0,0.24,0.23,0.24,0.06999999,41.176464,6522.0,2081,0.35108070800781244,False,REGULAR,USD,0.0027397260273972603,0.235,0.9698825967148267,0.35038934818907796,-0.046289952435671244,0.0079377508027121,3.3805097602852334,-215.05030490807596,-0.0851147892918959,-0.0011048438410223337
SPY260313P00647000,2026-03-12 20:14:59+00:00,647.0,0.26,0.26,0.27,0.06999999,36.842102,9105.0,2519,0.344733115234375,False,REGULAR,USD,0.0027397260273972603,0.265,0.9713839629636112,0.34446135202678546,-0.05210417161588299,0.00887462104095226,3.71555896156152,-232.31497883196863,-0.0958068693175716,-0.0012140346464237473
SPY260313P00648000,2026-03-12 20:14:57+00:00,648.0,0.31,0.3,0.32,0.10000001,47.619053,7779.0,2280,0.34278000976562495,False,REGULAR,USD,0.0027397260273972603,0.31,0.9728853292123958,0.34114015226305516,-0.06009970796472952,0.010029063856653322,4.158407772877455,-257.4402171500967,-0.11052058140474141,-0.0013254277150753482
SPY260313P00649000,2026-03-12 20:14:56+00:00,649.0,0.35,0.34,0.35,0.13,59.090908,5235.0,2637,0.33399103515625,False,REGULAR,USD,0.0027397260273972603,0.345,0.9743866954611803,0.334062766007883,-0.06702813511744699,0.01114918125159847,4.526941548543995,-274.36969644226485,-0.12325961541857401,-0.0014510578589514115
SPY260313P00650000,2026-03-12 20:14:57+00:00,650.0,0.39,0.39,0.41,0.13,50.0,60452.0,27162,0.331061376953125,False,REGULAR,USD,0.0027397260273972603,0.4,0.9758880617099649,0.3300406067996203,-0.07675839209047286,0.01252151339767252,5.022940548490899,-300.686316948489,-0.1411662862206462,-0.0015719484447434436
SPY260313P00651000,2026-03-12 20:14:56+00:00,651.0,0.45,0.45,0.47,0.16,55.172417,9578.0,2662,0.32617861328125,False,REGULAR,USD,0.0027397260273972603,0.45999999999999996,0.9773894279587495,0.3253841348396392,-0.08736893123664224,0.014002345556103747,5.537720130663172,-326.7298060868885,-0.16069301405234265,-0.0016962008362562304
SPY260313P00652000,2026-03-12 20:14:54+00:00,652.0,0.53,0.52,0.55,0.19999996,60.606045,11108.0,4404,0.32300481689453114,False,REGULAR,USD,0.0027397260273972603,0.535,0.978890794207534,0.321705734013885,-0.10004294797603808,0.015652490242520363,6.120347510735877,-356.9120728281863,-0.18402631694538496,-0.0018116786669771698
